"Código","Nombre oficial","Autor"
"05","Posidonietea","Den Hartog 1976"
"05.01","Posidonion","Br.-Bl., Roussine & Nègre 1952"
"05.01.01","Posidonietum oceanicae","Funk 1927"
"06","Ruppietea","J. Tüxen 1960"
"06.01","Ruppion maritimae","Br.-Bl. ex Westhoff in Bennema, Sissingh & Westhoff 1943"
"06.01.01","Ruppietum spiralis","Hocquette 1927 corr. Iversen 1934"
"06.01.02","Ruppietum drepanensis","Brullo & Furnari 1976"
"06.01.03","Enteromorpho intestinalidis-Ruppietum maritimae","Westhoff ex Tüxen & Böckelmann 1957"
"06.02","Scirpion parvuli","Segal 1968"
"06.02.01","Eleocharitetum parvulae","(Christiansen 1934) Gillner 1960"
"06.03","Riellion helicophyllae","Cirujano, Velayos & P. García ex Rivas-Martínez, Fernández-González & Loidi 1999"
"06.03.01","Rielletum helicophyllae","Cirujano, Velayos & P. García 1993"
"06.03.02","Rielletum notarisii","Cirujano, Velayos & P. García 1993"
"07","Zosteretea marinae","Pignatti 1954"
"07.01","Zosterion","Christiansen 1934"
"07.01.01","Guiraudio-Zosteretum noltii","Boudouresque, Belscher & Marcot-Coqueugniot 1977"
"07.01.02","Zosteretum marinae","(Borgesen 1905) Harmsen 1936"
"07.01.03","Zosteretum noltii","Harmsen 1936"
"08","Bidentetea tripartitae","Tüxen, Lohmeyer & Preising ex von Rochow 1951"
"08.01","Bidention tripartitae","Nordhagen 1940 em. Tüxen in Poli & J. Tüxen 1960"
"08.01.01","Bidentetum tripartitae","Koch 1926"
"08.01.02","Bidenti tripartitae-Polygonetum lapathifolii","Rivas-Martínez, Belmonte, Fernández-González & Sánchez-Mata in Sánchez-Mata 1989"
"08.01.03","Cypero micheliani-Ranunculetum sardoi","Rivas Goday 1964"
"08.01.04","Myosoto aquatici-Bidentetum frondosae","O. Bolòs, J.M. Montserrat & Romo 1988"
"08.01.05","Polygono hydropiperis-Bidentetum tripartitae","Lohmeyer ex Passarge 1955"
"08.01.06","Spergulario-Ranunculetum scelerati","O. Bolòs & Masclans 1955"
"08.01.07","Xanthio italici-Polygonetum persicariae","O. Bolòs 1957"
"08.02","Chenopodion rubri","(Tüxen ex Poli & J. Tüxen 1960) Kopeckì 1969"
"08.02.01","Amarantho-Chenopodietum botryoidis","Martínez-Parras, Peinado, Bartolomé & Molero 1988"
"09","Isoeto-Nanojuncetea","Br.-Bl. & Tüxen ex Westhoff, Dijk & Passchier 1946"
"09.01","Isoetion","Br.-Bl. 1936"
"09.01.01","Bellio bellidioidis-Menthetum pulegii","O. Bolòs & Molinier in O. Bolòs & Vigo 1972"
"09.01.02","Damasonio bourgaei-Crassuletum vaillantii","O. Bolòs & Llorens in O. Bolòs 1966"
"09.01.03","Isoetetum durieui","Br.-Bl. 1936"
"09.01.04","Lythro thymifoliae-Crassuletum vaillantii","Rivas Goday ex Ruiz & A. Valdés 1987"
"09.01.05","Myosuro-Bulliardietum vaillantii","Br.-Bl. 1936"
"09.01.06","Peplido hispidulae-Isoetetum delilei","Br.-Bl. 1936 corr. Barkman, Moravec & Rauschert 1986"
"09.02","Preslion cervinae","Br.-Bl. ex Moor 1937"
"09.02.01","Cypero badii-Preslietum cervinae","Rivas Goday 1956"
"09.02.02","Eryngio corniculati-Preslietum cervinae","Rivas Goday 1957"
"09.02.03","Juncetum nanae","Rivas-Martínez 1964"
"09.02.04","Junco capitati-Isoetetum hystricis","Br.-Bl. 1936"
"09.02.05","Junco pygmaei-Isoetetum velati","Rivas Goday 1956"
"09.02.06","Preslietum cervinae","Br.-Bl. ex Moor 1937"
"09.03","Agrostion salmanticae","Rivas Goday 1958"
"09.03.01","Periballio laevis-Illecebretum verticillati","Rivas Goday 1954"
"09.03.02","Peplido erectae-Agrostietum salmanticae","Rivas Goday 1956"
"09.03.03","Pulicario uliginosae-Agrostietum salmanticae","Rivas Goday 1956"
"09.04","Cicendion","(Rivas Goday in Rivas Goday & Borja 1961) Br.-Bl. 1967"
"09.04.01","Anthemido nobilis-Menthetum pulegii","Lüpnitz 1976"
"09.04.02","Cicendio candollei-Juncetum pygmaei","Rivas Goday 1957"
"09.04.03","Cicendietum filiformis","Allorge ex Moor 1937"
"09.04.04","Hyperico humifusi-Cicendietum filiformis","Rivas Goday (1964) 1970"
"09.04.05","Isoeto-Cicendietum","Br.-Bl. 1967"
"09.04.06","Laurentio michelii-Juncetum tingitani","Rivas Goday & Borja in Rivas Goday 1968"
"09.04.07","Loto subbiflori-Chaetopogonetum fasciculati","Rivas-Martínez & Costa in Rivas-Martínez, Costa, Castroviejo & E. Valdés 1980"
"09.04.08","Panico-Illecebretum verticillati","Diemont, Sissingh & Westhoff 1940"
"09.04.09","Sedetum lagascae","Rivas-Martínez, T.E. Díaz, Fernández-González, Sánchez-Mata & Sardinero 2002"
"09.05","Nanocyperion","Koch ex Libbert 1933"
"09.05.01","Cyperetum flavescentis","Koch ex Aichinger 1933"
"09.05.02","Filaginello uliginosae-Veronicetum peregrinae","Molero Brion. & Romo 1988"
"09.05.03","Gnaphalio-Isolepidetum pseudosetacei","Rivas Goday 1970"
"09.05.04","Gnaphalio uliginosi-Peplidetum portulae","O. Bolòs 1979"
"09.05.05","Gnaphalio uliginosi-Spergularietum capillaceae","L. Herrero, M.E. García, T.E. Díaz, Penas & F. Salegui 2002"
"09.05.06","Hyperico tomentosi-Cyperetum flavidi","Molero Brion. 1984"
"09.05.07","Ludwigio palustris-Cyperetum micheliani","Rivas-Martínez, Costa, Castroviejo & E. Valdés 1980"
"09.05.08","Ranunculo paludosi-Lythretum portulae","Molero Brion. & Pujadas in Molero 1984"
"09.05.09","Scirpo cernui-Cyperetum flavescentis","Roselló 1994"
"09.05.10","Scirpo setacei-Stellarietum uliginosae","Koch ex Libbert 1932"
"09.06","Verbenion supinae","Slavnic 1951"
"09.06.01","Cypero micheliani-Heleochloetum alopecuroidis","Rivas Goday & E. Valdés in Rivas Goday 1970"
"09.06.02","Damasonio alismatis-Crypsietum aculeatae","Rivas-Martínez & Costa in Rivas-Martínez, Costa, Castroviejo & E. Valdés 1980"
"09.06.03","Digitario debilis-Fimbristyletum bisumbellatae","Rivas Goday 1956 corr. Brullo & Minissale 1998"
"09.06.04","Glino lotoidis-Verbenetum supinae","Rivas Goday 1964"
"09.06.05","Heleochloo schoenoidis-Fimbristyletum bisumbellatae","Br.-Bl. & Rivas Goday in Rivas Goday 1956 corr. Brullo & Minisale 1998"
"09.06.06","Heliotropio supini-Heleochloetum schoenoidis","Rivas Goday 1956"
"09.06.07","Lythro flexuosi-Heleochloetum schoenoidis","Rivas-Martínez 1966"
"09.06.08","Polypogono maritimi-Centaurietum spicati","Alcaraz, P. Sánchez, De la Torre, Ríos & J. Alvarez 1991"
"09.06.09","Verbenetum supinae","Sunding 1972"
"09.06.10","Verbeno supinae-Gnaphalietum","Rivas Goday 1970"
"09.07","Lythrion tribracteati","Rivas Goday & Rivas-Martínez ex Rivas Goday 1970"
"09.07.01","Gnaphalio luteo-albi-Plantaginetum intermediae","Rivas Goday & Ladero in Rivas Goday 1970"
"09.07.02","Isolepido-Lythretum castellani","Rivas Goday 19"
"10","Isoeto-Littorelletea","Br.-Bl. & Vlieger in Vlieger 1937"
"10.01","Littorellion uniflorae","Koch 1926"
"10.01.01","Isoeto lacustris-Sparganietum borderei","Br.-Bl. 1948"
"10.01.02","Sparganio angustifolii-Callitrichetum fontqueri","Rivas Goday & Rivas-Martínez 1958"
"10.01.03","Sparganio angustifolii-Isoetetum echinospori","Rivas-Martínez & G. Navarro in G. Navarro 1987"
"10.01.04","Sparganio angustifolii-Isoetetum lereschi","Rivas-Martínez 1964 corr. Rivas-Martínez & Prada in Rivas-Martínez, Costa, Izco & Sáenz 1982"
"10.02","Hyperico elodis-Sparganion","Br.-Bl. & Tüxen ex Oberdorfer 1957"
"10.02.01","Apio inundati-Isoetetum longissimi","J. Rodríguez, Romero & Ortiz 1997"
"10.02.02","Eleocharitetum bonariensis","J. Rodríguez, Romero & Ortiz 1997"
"10.02.03","Fontinali-Ranunculetum lusitanici","Br.-Bl., P. Silva, Rozeira & Fontes 1952"
"10.02.04","Eleocharitetum multicaulis","Allorge 1922 em. Tüxen 1937"
"10.02.05","Hyperico elodis-Potametum oblongi","(Allorge 1926) Br.-Bl. & Tüxen 1952"
"10.02.06","Hyperico elodis-Rhynchosporetum rugosae","Neto, Capelo, J.C. Costa & Lousã in Neto 1997"
"10.02.07","Hyperico elodis-Scirpetum fluitantis","Rivas Goday 1964"
"10.02.08","Isoetetum azoricae","Lüpnitz 1976"
"10.02.09","Junco emmanuelis-Eleocharitetum multicaulis","Rivas-Martínez & Costa in Rivas-Martínez, Costa, Castroviejo & E. Valdés 1980"
"10.02.10","Junco heterophylli-Pilularietum globuliferae","J. Rodríguez, Romero & Ortiz 1997"
"10.02.11","Lilaeopsio attenuatae-Triglochinetum striatae","J. Rodríguez, Romero & Ortiz 1997"
"10.02.12","Ludwigio palustris-Potametum polygonifolii","Peinado & A. Velasco in Peinado, Moreno & A. Velasco 1983"
