"Código","Nombre oficial","Autor"
"31.03.04","Greenovietum diplocyclae","Santos 1983"
"31.03.05","Greenovio-Aeonietum caespitosi","Sunding 1972"
"31.03.06","Tolpidetum calderae","Santos 1983"
"32","Phagnalo-Rumicetea indurati","(Rivas Goday & Esteve 1972) Rivas-Martínez, Izco & Costa 1973"
"32.01","Andryalo ramosissimae-Crambion filiformis","(Rivas Goday & Esteve 1972) Rivas-Martínez, Izco & Costa 1973"
"32.01.01","Echio-Crambetum filiformis","Rivas Goday & Esteve 1972 corr. Rivas-Martínez, Izco & Costa 1973"
"32.01.02","Linario clementei-Andryaletum ramosissimae","Rivas Goday & Esteve 1972"
"32.02","Melico-Phagnalion intermedii","Rivas Goday & Esteve 1972"
"32.02.01","Campanulo mollis-Phagnaletum intermedii","Rivas Goday & Esteve 1972"
"32.02.02","Centaureo malacitanae-Phagnaletum intermedii","Rivas Goday & Esteve 1972"
"32.02.03","Euphorbio squamigerae-Phagnaletum saxatilis","(Rivas Goday & Esteve 1972) Alcaraz, P. Sánchez, De la Torre, Ríos & J. Alvarez 1991"
"32.02.04","Galio ephedroidis-Phagnaletum saxatilis","Rivas Goday & Esteve 1972"
"32.02.05","Mucizonio hispidae-Cheilanthetum marantae","Rivas Goday & Esteve 1972"
"32.02.06","Teucrio compacti-Helichrysetum serotini","Rivas Goday & Esteve 1972"
"32.03","Rumici indurati-Dianthion lusitani","Rivas-Martínez, Izco & Costa ex Fuente 1986"
"32.03.01","Asplenio billotii-Dianthetum lusitani","A.V. Pérez & Cabezudo in A.V. Pérez, P. Navas, D. Navas, Gil & Cabezudo 1998"
"32.03.02","Centaureo ornatae-Festucetum duriotaganae","Capelo, Aguiar, Penas, J.C. Costa & Lousã 1998"
"32.03.03","Centaureo pinnatae-Dianthetum lusitani","M.B. Crespo, Solanas & Camuñas 1999"
"32.03.04","Coincyo longirostrae-Dianthetum lusitani","Melendo in Cano, Melendo & F. Valle 1997"
"32.03.05","Crepido oporinoidis-Rumicetum indurati","Rivas-Martínez, Fernández-González & Sánchez-Mata 1986"
"32.03.06","Dianto lusitani-Antirrhinetum rupestris","Molero, Marín & M. López 2002"
"32.03.07","Digitali thapsi-Dianthetum lusitani","Rivas-Martínez ex Fuente 1986"
"32.03.08","Erodio mouretii-Rumicetum indurati","Ladero, Pérez Chiscano & E. Valdés 1980"
"32.03.09","Hieracio schmidtii-Dianthetum lusitani","Mateo 1996"
"32.03.10","Jasiono marianae-Dianthetum lusitani","Rivas Goday (1955) 1964"
"32.03.11","Phagnalo saxatilis-Rumicetum indurati","Rivas-Martínez ex F. Navarro & C. Valle in Ruiz 1986"
"32.03.12","Sileno montistellensis-Dianthetum lusitani","Rivas-Martínez 1981 corr. Ladero, Rivas-Martínez, Amor, M.T. Santos & Alonso 1999"
"32.04","Saxifragion continentalis","Rivas-Martínez in Rivas-Martínez, Fernández-González & Sánchez-Mata 1986"
"32.04.01","Phalacrocarpo oppositifolii-Saxifragetum continentalis","Ortiz & Izco ex F.J. Pérez, T.E. Díaz, P. Fernández & Salvo 1989"
"32.04.02","Sedo hirsuti-Saxifragetum continentalis","Rivas-Martínez 1964"
"32.05","Calendulo lusitanicae-Antirrhinion linkiani","Ladero, C. Valle, M.T. Santos, Amor, Espírito-Santo, Lousã & J.C. Costa 1991"
"32.05.01","Sileno longiciliae-Antirrhinetum linkiani","Ladero, C. Valle, M.T. Santos, Amor, Espírito-Santo, Lousã & J.C. Costa 1991"
"32.06","Sesamoidion suffruticosae","Ortiz & Pulgar 2000"
"32.06.01","Sesamoido suffruticosae-Anarrhinetum bellidifolii","Ortiz & Pulgar 2000"
"32.06.02","Sesamoido suffruticosae-Anarrhinetum durimini","Ortiz & J. Rodríguez 1993"
"33","Thlaspietea rotundifolii","Br.-Bl. 1948"
"33.01","Iberidion spathulatae","Br.-Bl. 1948"
"33.01.01","Allio schoenoprasi-Ranunculetum parnassifolii","F. Casas 1970"
"33.01.02","Aquilegio hirsutissimae-Xatardietum scabrae","O. Bolòs & P. Montserrat in O. Bolòs 1974"
"33.01.03","Aquilegio pyrenaicae-Bordereetum pyrenaicae","Quézel 1956"
"33.01.04","Crepidetum pygmaeae","Br.-Bl. 1948"
"33.01.05","Festucetum glaciali-pyrenaicae","Rivas-Martínez 1977"
"33.01.06","Iberidetum spathulatae","Br.-Bl. 1948"
"33.01.07","Linario alpinae-Minuartietum cerastiifoliae","Rivas-Martínez 1977"
"33.01.08","Violetum diversifoliae","F. Casas 1970 corr. F. Casas 1972"
"33.02","Platycapno saxicolae-Iberidion granatensis","Rivas Goday & Rivas-Martínez 1963"
"33.02.01","Crepido granatensis-Iberidetum granatensis","Quézel 1953"
"33.02.02","Rumici scutati-Aquilegietum cazorlensis","F. Casas 1972"
"33.03","Saxifragion praetermissae","Rivas-Martínez 1977"
"33.03.01","Luzulo candollei-Saxifragetum praetermissae","Rivas-Martínez 1977"
"33.03.02","Ranunculo leroyi-Saxifragetum praetermissae","T.E. Díaz & F. Prieto 1983"
"33.03.03","Oxyrio digynae-Doronicetum pyrenaici","Chouard 1943"
"33.04","Linarion filicaulis","Rivas-Martínez ex F. Prieto 1983"
"33.04.01","Epilobio anagallidifolii-Doronicetum braun-blanquetii","Rivas-Martínez, T.E. Díaz, F. Prieto, Loidi & Penas 1984"
"33.04.02","Galio pyrenaici-Salicetum breviserratae","Rivas-Martínez, T.E. Díaz, F. Prieto, Loidi & Penas 1984"
"33.04.03","Linario filicaulis-Crepidetum pygmaeae","F. Prieto 1983"
"33.04.04","Linario filicaulis-Ranunculetum cabrerensis","R. alonso, Puente, Penas & F. Salegui 2002"
"33.04.05","Linario filicaulis-Sperguletum viscosae","Rivas-Martínez, T.E. Díaz, F. Prieto, Loidi & Penas 1984"
"33.04.06","Minuartio rostratae-Linarietum filicaulis","M.E. García, L. Herrero, T.E. Díaz & Penas ex Penas, Puente, M.E. García & L. Herrero 1992"
"33.05","Iberido-Linarion propinquae","Penas, Puente, M.E. García & L. Herrero ex T.E. Díaz & F. Prieto 1994"
"33.05.01","Epipactido atrorubentis-Linarietum proximae","Loidi, Biurrun & Herrera 1997"
"33.05.02","Linario odoratissimae-Rumicetum scutati","Puente 1988 corr. Penas, Puente, M.E. García & L. Herrero 1992"
"33.05.03","Rumici scutati-Iberidetum apertae","Rivas-Martínez, T.E. Díaz, F. Prieto, Loidi & Penas 1984"
"33.06","Senecionion leucophylli","Br.-Bl. 1948"
"33.06.01","Allosoro crispi-Poetum fontquerii","Nègre 1968"
"33.06.02","Galeopsio pyrenaicae-Poetum fontquerii","Br.-Bl. 1948"
"33.06.03","Senecionetum leucophylli","Br.-Bl. 1948"
"33.06.04","Xatardietum scabrae","Baudière & Serve 1975"
"33.07","Holcion caespitosi","Quézel 1953"
"33.07.01","Senecioni granatensis-Digitaletum nevadensis","Quézel 1953"
"33.07.02","Veronico minusculariae-Violetum parvulae","P. Prieto 1973"
"33.07.03","Violo nevadensis-Linarietum glacialis","Quézel 1953"
"33.08","Linario saxatilis-Senecionion carpetani","Rivas-Martínez 1964"
"33.08.01","Conopodio butinioidis-Linarietum alpinae","Rivas-Martínez 1964"
"33.08.02","Cryptogrammo crispae-Ranunculetum cabrerensis","Penas, Puente, M.E. García & L. Herrero 1992"
"33.08.03","Cryptogrammo crispae-Silenetum gayanae","F. Prieto 1983 corr. Penas, Puente, M.E. García & L. Herrero 1992"
"33.08.04","Digitali carpetanae-Leontodontetum bourgaeani","Jansen 1998"
"33.08.05","Digitali carpetanae-Senecionetum carpetani","Rivas-Martínez 1964"
"33.08.06","Galeopsio carpetanae-Linarietum aciculifoliae","Rivas-Martínez & G. Navarro in G. Navarro 1989"
"33.08.07","Linario glabrescentis-Rumicetum suffruticosi","T.E Díaz & F. Prieto 1994"
"33.08.08","Phalacrocarpo oppositifolii-Rumicetum suffruticosi","Rivas-Martínez 1981"
"33.08.09","Rumicetum suffruticosi","Rivas-Martínez 1964"
"33.08.10","Santolinetum oblongifoliae","Rivas-Martínez 1964"
"33.08.11","Sesamoido pygmaeae-Silenetum gayanae","Izco & Ortiz 1987 corr. Penas, Puente, M.E. García & L. Herrero 1992"
"33.08.12","Triseto hispidi-Rumicetum suffruticosi","F. Prieto 1983"
"33.09","Galeopsion pyrenaicae","Rivas-Martínez 1977"
"33.09.01","Galeopsietum brevifoliae","O. Bolòs 1979"
"33.09.02","Lactuco-Galeopsietum","O. Bolòs 1974"
"33.09.03","Linario repentis-Galeopsietum ladani","O. Bolòs 1974"
"33.10","Gymnocarpion robertiani","F. Casas 1970"
"33.10.01","Cystopterido pseudoregiae-Dryopteridetum submontanae","Rivas-Martínez, T.E. Díaz, F. Prieto, Loidi & Penas 1984"
"33.10.02","Dryopteridetum villarii","Jenny 1930"
"33.10.03","Sileno quadrifidae-Cystopteridetum montanae","Chouard 1942"
"33.10.04","Valeriano montanae-Polypodietum robertiani","Chouard 1943"
"33.11","Dryopteridion oreadis","Rivas-Martínez 1977 corr. Rivas-Martínez, Báscones, T.E. Díaz, Fernández-González & Loidi 1991"
"33.11.01","Campanulo willkommii-Polystichetum lonchitidis","(Esteve & F. Casas 1971) Molero 1985"
"33.11.02","Cryptogrammo-Dryopteridetum oreadis","Rivas-Martínez in Rivas-Martínez & Costa 1970 corr. Rivas-Martínez, Báscones, T.E. Díaz, Fernández-González & Loidi 1991"
"33.12","Glaucion flavi","Br.-Bl. ex Tchou 1948"
"33.12.01","Andryaletum ragusinae","Br.-Bl. & O. Bolòs 1958"
"33.12.02","Centrantho-Euphorbietum aragonensis","O. Bolòs 1967"
"33.12.03","Lactuco chondrilliflorae-Andryaletum ragusinae","Penas, T.E. Díaz, López Pacheco & M.E. García 1987"
"33.12.04","Lactuco vimineae-Silenetum inapertae","O. Bolòs 1956"
"33.12.05","Plantagini sempervirentis-Saponarietum ocymoidis","O. Bolòs 1983"
"33.13","Scrophularion sciophilae","O. Bolòs 1957"
"33.13.01","Biscutello stenophyllae-Scrophularietum sciophilae","O. Bolòs 1979"
"33.13.02","Resedetum valentinae","O. Bolòs 1981"
"33.13.03","Scrophulario sciophilae-Arenarietum intricatae","O. Bolòs 1957"
"33.13.04","Thalictro valentini-Conopodietum thalictrifolii","P. Sánchez & Alcaraz 1993"
"33.14","Stipion calamagrostis","Jenny in Br.-Bl., Roussine & Nègre 1952"
"33.14.01","Aquilegio guarensis-Cochlearietum aragonensis","P. Montserrat & Villar 1974"
"33.14.02","Arenario hispanicae-Ptychotidetum saxifragae","Romo 1989"
"33.14.03","Festuco gautieri-Cirsietum glabri","G. Montserrat 1987"
"33.14.04","Galeopsio angustifoliae-Nepetetum nepetellae","I. Soriano 1996"
"33.14.05","Hieracio-Rumicetum scutati","Vigo 1968"
"33.14.06","Linario badalii-Cochlearietum aragonensis","G. Navarro 1989"
"33.14.07","Picrido rielii-Stipetum calamagrostis","O. Bolòs 1960"
"33.14.08","Sileno glareosae-Linarietum bubanii","G. Montserrat 1987"
"33.14.09","Stipo calamagrostis-Pimpinelletum puberulae","Rivas Goday & Borja 1961"
"33.15","Calamagrostion pseudophragmitis","Rivas-Martínez, T.E. Díaz, F. Prieto, Loidi & Penas 1984"
"33.15.01","Conopodio-Laserpitietum gallici","O. Bolòs 1967"
"33.15.02","Erucastro nasturtiifolii-Calamagrostietum pseudophragmitis","Rivas-Martínez, T.E. Díaz, F. Prieto, Loidi & Penas 1984"
"33.15.03","Galeopsio angustifoliae-Ptychotidetum saxifragae","O. Bolòs & Vives in O. Bolòs 1956"
"34","Artemisietea vulgaris","Lohmeyer, Preising & Tüxen ex von Rochow 1951"
"34.01","Arction lappae","Tüxen 1937"
"34.01.01","Arctio-Artemisietum vulgaris","Oberdorfer ex Seybold & Müller 1972"
"34.01.02","Balloto foetidae-Arctietum minoris","O. Bolòs 1959"
"34.01.03","Chenopodio boni-henrici-Senecionetum duriaei","Rivas-Martínez 1964"
"34.01.04","Chenopodio boni-henrici-Taraxacetum pyrenaici","Br.-Bl. 1948"
"34.01.05","Galactito tomentosae-Digitaletum purpureae","Bellot & Casaseca in Casaseca 1959"
"34.01.06","Malvo mauritianae-Rumicetum obtusifolii","Oberdorfer & Tüxen in Tüxen & Oberdorfer 1958"
"34.02","Rumicion pseudalpini","Rübel ex Scharfetter 1938 corr. Loidi & Biurrun 1996"
"34.02.01","Rumici alpini-Chenopodietum boni-henrici","Carrillo & Vigo 1984"
"34.03","Convolvulo arvensis-Agropyrion repentis","Görs 1966"
"34.03.01","Cardario drabae-Agropyretum repentis","Müller & Görs 1969"
"34.03.02","Jasonio tuberosae-Tussilaginetum farfarae","Vives 1964"
"34.03.03","Oenothero biennis-Helianthetum tuberosi","O. Bolòs, J.M. Montserrat & Romo 1988"
"34.04","Dauco-Melilotion","Görs 1966"
"34.04.01","Brachypodio phoenicoidis-Melilotetum albae","O. Bolòs & Vigo in Vigo 1979"
"34.04.02","Dauco carotae-Picridetum hieracioidis","Görs 1966"
"34.04.03","Helminthio echioidis-Melilotetum albae","Loidi & C. Navarro 1988"
"34.04.04","Nepetetum latifoliae","Vigo 1975"
"34.04.05","Tanaceto vulgaris-Artemisietum vulgaris","Sissingh 1950"
"34.05","Agropyrion pungentis","Géhu 1968"
"34.05.01","Agropyretum pycnanthi","Corillion 1953 corr. Bueno 1997"
"34.05.02","Inulo crithmoidis-Elymetum pycnanthi","Géhu ex Izco, J. Guitián & J.M. Sánchez 1993"
"34.05.03","Picrido echioidis-Raphanetum maritimi","Loidi, Berastegi, Biurrun, García-Mijangos & Herrera 1995"
"34.05.04","Polygono maritimi-Elymetum pycnanthi","Herrera in T.E. Díaz & F. Prieto 1994"
"34.06","Bromo-Oryzopsion miliaceae","O. Bolòs 1970"
"34.06.01","Bromo sterilis-Sisymbrietum macrolomae","Ninot, Soriano & Vigo in Vigo 1996"
"34.06.02","Centaureo maritimae-Echietum sabulicolae","Costa & Mansanet 1981"
"34.06.03","Euphorbio terracinae-Lobularietum columbretensis","Carretero & Boira 1987 corr. Carretero & Aguilella 1995"
"34.06.04","Ferulo tingitanae-Carthametum arborescentis","Galán, Cortés & I. Sánchez 2000"
"34.06.06","Inulo viscosae-Oryzopsietum miliaceae","O. Bolòs 1957"
"34.06.07","Oryzopsio miliaceae-Daucetum maximi","O. Bolòs & Vigo 1972"
"34.06.08","Piptathero miliacei-Foeniculetum vulgaris","Rivas-Martínez, Wildpret, Del Arco, O. Rodríguez, Pérez de Paz, García Gallo, Acebes, T.E. Díaz & Fernández-González 1993"
"34.06.09","Verbasco litigiosi-Ononidetum ramosissimae","Galán, I. Sánchez & Vicente 1997"
"34.06.10","Verbasco martinezii-Ononidetum ramosissimae","Galán, I. Sánchez & Vicente 1997"
"34.07","Onopordion acanthii","Br.-Bl. in Br.-Bl., Gajewski, Wraber & Walas 1936"
"34.07.01","Echinopo sphaerocephali-Artemisietum absinthii","Vigo & Carreras in Carreras, Carrillo, X. Font, Masalles, Ninot, Soriano & Vigo 1997"
"34.07.02","Onopordetum acanthii","Br.-Bl. in Br.-Bl., Gajewski, Wraber & Walas 1936"
"34.07.03","Verbasco pulverulenti-Cirsietum costae","O. Bolòs & Masalles 1983"
"34.07.04","Verbascetum blattario-thapsi","O. Bolòs & Masalles 1983"
"34.08","Cirsion richterano-chodati","(Rivas-Martínez in Rivas-Martínez, T.E. Díaz, F. Prieto, Loidi & Penas 1984) Rivas-Martínez, Báscones, T.E. Díaz, Fernández-González & Loidi 1991"
"34.08.01","Carduo nutantis-Cirsietum chodati","Rivas-Martínez & F. Prieto in Penas, T.E. Díaz, M.E. García, López Pacheco, Puente & L. Herrero 1988"
"34.08.02","Carduo nutantis-Cirsietum richterani","Loidi 1983"
"34.08.03","Cirsio chodati-Carduetum cantabrici","Rivas-Martínez, T.E. Díaz, F. Prieto, Loidi & Penas 1984"
"34.08.04","Cirsio chodati-Carduetum carpetani","Rivas-Martínez, T.E. Díaz, F. Prieto, Loidi & Penas 1984"
"34.08.05","Cynoglosso picti-Cirsietum chodati","Bellot 1968"
"34.08.06","Onopordetum acauli","(Br.-Bl. 1948) Vigo & Carreras 1997"
"34.09","Carduo carpetani-Cirsion odontolepidis","Rivas-Martínez, Penas & T.E. Díaz 1986"
"34.09.01","Carduo carpetani-Onopordetum acanthii","Rivas-Martínez, Penas & T.E. Díaz 1986"
"34.09.02","Carthamo lanati-Onopordetum acanthii","Ladero, Navarro & C. Valle 1983"
"34.09.03","Festuco caerulescentis-Verbascetum nevadensis","Esteve & M. López 1973"
"34.09.04","Verbasco gigantei-Onopordetum acauli","Mota, Peñas & Cabello 1997"
"34.10","Onopordion castellani","Br.-Bl. & O. Bolòs 1958"
"34.10.01","Alysso maritimi-Verbascetum boerhavii","O. Bolòs & Vigo 1984"
"34.10.02","Bourgaeo humilis-Galactitetum tomentosae","Rivas Goday 1964"
"34.10.03","Carlino hispanicae-Carthametum lanati","Ladero, F. Navarro & C. Valle 1983"
"34.10.04","Carthametum baetico-lanati","Esteve 1973"
"34.10.05","Carthamo arborescentis-Ballotetum hirsutae","Rivas Goday & Rigual 1958 corr. Alcaraz, T.E. Díaz, Rivas-Martínez & P. Sánchez 1989"
"34.10.06","Carthamo lanati-Onopordetum macracanthi","Ladero, M.T. Santos, Pérez Chiscano & Amor in M.T. Santos & Ladero 1989"
"34.10.07","Cirsio echinati-Galactitetum duriaei","Pérez-Badia 1997"
"34.10.08","Nicotiano glaucae-Onopordetum micropteri","O. Bolòs 1957 corr. Alcaraz 2002"
"34.10.09","Notobasio syriacae-Scolymetum maculati","Rivas Goday ex Ladero, Socorro, Molero, M. López, Zafra, Marín, Hurtado & Pérez-Raya 1981"
"34.10.10","Onopordetum acantho-castellani","Rivas-Martínez & Sáncez-Mata 2002"
"34.10.11","Onopordetum castellani","Br.-Bl. & O. Bolòs 1958"
"34.10.12","Verbasco montani-Onopordetum acanthii","Roselló 1994"
"34.11","Silybo-Urticion","Sissingh ex Br.-Bl. & O. Bolòs 1958"
"34.11.01","Brassico fruticulosae-Carduetum tenuiflori","O. Bolòs & Vigo 1984"
"34.11.02","Carduo bourgeani-Silybetum mariani","Rivas-Martínez ex Rivas-Martínez, Costa & Loidi 1992"
"34.11.03","Centaureo-Cynaretum cardunculi","O. Bolòs 1957"
"34.11.04","Conio maculati-Silybetum mariani","Lohmeyer & Trautmann 1970"
"34.11.05","Hyoscyamo-Silybetum mariani","O. Bolòs & Molinier in O. Bolòs, Molinier & P. Montserrat 1970"
"34.11.06","Scolymo maculati-Cynaretum ferocissimae","Wildpret, Del Arco & García Gallo 1989"
"34.11.07","Silybetum hispanici","Cantó, M.B. Crespo & Sánchez-Mata 2002"
"34.11.08","Silybo-Urticetum","Br.-Bl. in Br.-Bl., Gajewski, Wraber & Walas 1936"
"34.11.09","Urtico-Solanetum sodomei","Molinier & R. Molinier 1955"
"35","Epilobietea angustifolii","Tüxen & Preising ex von Rochow 1951"
"35.01","Atropion belladonae","Br.-Bl. ex Aichinger 1933"
"35.01.01","Atropetum belladonae","Br.-Bl. ex Tüxen 1950"
"35.02","Carici piluliferae-Epilobion angustifolii","Tüxen ex von Rochow 1951"
"35.02.01","Asphodelo arrondeaui-Epilobietum angustifolii","Izco, J. Guitián & Amigo 1986 corr. Izco & Amigo 2001"
"35.02.02","Epilobietum montano-angustifolii","Carrillo, Ninot & Vigo 1984"
"35.02.03","Epilobio angustifolii-Digitaletum purpureae","Schwickerath (1933) 1940 em. Tüxen 1950"
"35.02.04","Luzulo lacteae-Eryngietum duriaei","Ortiz ex Izco & Amigo 2001"
"35.02.05","Simethido mattiazi-Asphodeletum ovoidei","Bellot ex Izco & Amigo 2001"
"35.03","Linarion niveae","Rivas-Martínez 1964"
"35.03.01","Linarietum niveae","Rivas-Martínez 1964"
"36","Oryzetea sativae","Miyawaki 1960"
"36.01","Oryzo sativae-Echinochloion oryzoidis","O. Bolòs & Masclans 1955"
"36.01.01","Echinochloo cruris-gallii-Ecliptetum prostratae","O. Bolòs 1988"
"36.01.02","Oryzo sativae-Echinochloetum cruris-galli","Soó ex Ubrizsy 1948"
"37","Pegano-Salsoletea","Br.-Bl. & O. Bolòs 1958"
"37.01","Salsolo vermiculatae-Peganion harmalae","Br.-Bl. & O. Bolòs 1954"
"37.01.01","Artemisio herbae-albae-Frankenietum thymifoliae","Rivas-Martínez & Izco in Izco 1972"
"37.01.02","Artemisio herbae-albae-Santolinetum squarrosae","Ladero, C. Valle & A. Gutiérrez 1994"
"37.01.03","Artemisio valentinae-Atriplicetum halimi","Laorga & Belmonte in Belmonte & Laorga 1987"
"37.01.04","Lavatero maritimae-Anagyrietum foetidae","Costa & Peris in Esteso, Pérez-Badia & P. Soriano 1988"
"37.01.05","Limonio lobetanici-Salsoletum vermiculatae","Peris, Stübing & Figuerola 1991"
"37.01.06","Limonio sucronici-Peganetum harmalae","Peris, Stübing & Figuerola 1991"
"37.01.07","Artemisio valentinae-Camphorosmetum monspeliacae","Rivas-Martínez, Cantó & Sánchez-Mata 2002"
"37.01.08","Limonio dichotomi-Atriplicetum halimi","Cirujano 1981"
"37.01.09","Salsolo vermiculatae-Artemisietum herbae-albae","(Br.-Bl. & O. Bolòs 1958) O. Bolòs 1967"
"37.01.10","Salsolo vermiculatae-Peganetum harmalae","Br.-Bl. & O. Bolòs 1954"
"37.01.11","Soncho tenerrimi-Salsoletum vermiculatae","O. Bolòs & Molinier 1958"
"37.02","Carthamo arborescentis-Salsolion oppositifoliae","Rivas Goday & Rivas-Martínez 1963"
"37.02.01","Atriplicetum glauco-halimi","Rivas-Martínez & Alcaraz in Alcaraz 1984"
"37.02.02","Atriplici glaucae-Suaedetum pruinosae","Rigual 1972"
"37.02.03","Cynomorio coccinei-Lycietum intricati","Rivas-Martínez, Lousã, T.E. Díaz, Fernández-González & J.C. Costa (1990) 2002"
"37.02.04","Frankenio laevis-Salsoletum vermiculatae","J.C. Costa in J.C. Costa, Lousã & Espírito-Santo 1997"
"37.02.05","Salsolo oppositifoliae-Atriplicetum halimi","Costa, Peris & Stübing ex Cantó, Laorga & Belmonte 1986 corr. Pérez-Badia 1997"
"37.02.06","Salsolo oppositifoliae-Thymelaeetum hirsutae","Rivas Goday & Bellot ex Rivas Goday & Rivas-Martínez 1959"
"37.02.07","Salsolo vermiculatae-Lycietum intricati","Llorens & Guijarro 1982"
"37.02.08","Suaedo fruticosae-Salsoletum oppositifoliae","Rivas Goday & Rigual 1958"
"37.02.09","Withanio frutescentis-Lycietum intricati","Alcaraz, P. Sánchez, De la Torre, Ríos & J. Alvarez 1991"
"37.03","Hammado articulatae-Atriplicion glaucae","Rivas Goday & Rivas-Martínez ex Rigual 1972 corr. Alcaraz, P. Gómez, De la Torre, Ríos & J. Alvarez 1991"
"37.03.01","Andryalo ragusinae-Artemisietum barrelieri","F. Valle, Mota & Gómez-Mercado 1987"
"37.03.02","Artemisio barrelieri-Salsoletum genistoidis","F. Valle, Mota & Gómez-Mercado 1987"
"37.03.03","Atriplici glaucae-Salsoletum genistoidis","O. Bolòs (1957) 1973"
"37.03.04","Hammado articulatae-Atriplicetum glaucae","Rigual 1972 corr. Alcaraz, P. Gómez, De la Torre, Ríos & J. Alvarez 1991"
"37.03.05","Plantagini albicantis-Capparietum canescentis","O. Bolòs 1967"
"37.03.06","Thymelaeo hirsutae-Artemisietum barrelieri","Alcaraz, P. Sánchez, De la Torre, Ríos & J. Alvarez 1991"
"37.03.07","Zygophyllo fabaginis-Atriplicetum glaucae","Rivas Goday, Esteve & Rigual in Rigual 1972"
"37.04","Medicagini citrinae-Lavaterion arboreae","O. Bolòs, Folch & Vigo in O. Bolòs & Vigo 1984"
"37.04.01","Beto marcosii-Medicaginetum citrinae","(Rita & Bibiloni 1993) Juan & M.B. Crespo 1999"
"37.04.03","Carduo tenuiflori-Lavateretum arboreae","O. Bolòs & Vigo 1984"
"37.04.04","Lavateretum arboreae","Br.-Bl. & Molinier 1935"
"37.04.05","Medicagini citrinae-Lavateretum arboreae","O. Bolòs, Folch & Vigo in O. Bolòs & Vigo 1984"
"37.05","Lycio europaei-Ipomoeion purpureae","O. Bolòs 1988"
"37.05.01","Pharbitidi purpureae-Lycietum europaei","O. Bolòs 1962"
"37.06","Chenoleion tomentosae","Sunding 1972"
"37.06.01","Chenoleo tomentosae-Suaedetum mollis","Sunding 1972 corr. Reyes, Wildpret & León 2001"
"37.06.02","Chenoleoideo tomentosae-Salsoletum vermiculatae","Reyes, Wildpret & León 2001"
"37.07","Artemisio glutinosae-Santolinion rosmarinifoliae","Costa 1975"
"37.07.01","Alysso lusitanici-Santolinetum semidentatae","Aguiar, Penas & Lousã 1998"
"37.07.02","Artemisio glutinosae-Santolinetum rosmarinifoliae","Costa 1975"
"37.07.03","Artemisio glutinosae-Santolinetum semidentatae","Rivas-Martínez, Penas & T.E. Díaz 1986"
"37.07.04","Resedo complicatae-Artemisietum absinthii","Peinado, Martínez-Parras, Bartolomé & Alcaraz 1989"
"37.07.05","Santolinetum impressae","Rivas-Martínez ex Neto, Capelo, J.C. Costa & Lousã in J.C. Costa, Capelo, Aguiar, Neto, Lousã & Espírito-Santo 1999"
"37.08","Santolinion pectinato-canescentis","Peinado & Martínez-Parras 1984"
"37.08.01","Artemisio glutinosae-Gypsophiletum hispanicae","Roselló 1994"
"37.08.02","Artemisio glutinosae-Hyssopetum cinerei","Roselló 1994"
"37.08.03","Artemisio glutinosae-Santolinetum canescentis","Peinado & Martínez-Parras 1984"
"37.08.04","Artemisio glutinosae-Santolinetum squarrosae","Burgaz & N. Marcos 1989"
"37.08.05","Artemisio glutinosae-Thymetum mastichinae","Alcaraz, P. Sánchez, Robledo & De la Torre 1988"
"37.08.06","Helichryso serotini-Santolinetum pectinatae","Alcaraz, P. Sánchez, Robledo & De la Torre 1988"
"37.08.07","Lino collini-Artemisietum glutinosae","Peinado, Bartolomé & Martínez-Parras 1985"
"37.08.08","Plantagini sempervirentis-Santolinetum squarrosae","G. López 1976"
"37.09","Launaeo arborescentis-Schizogynion sericeae","Rivas-Martínez, Wildpret, Del Arco, O. Rodríguez, Pérez de Paz, García Gallo, Acebes, T.E. Díaz & Fernández-González 1993"
"37.09.01","Artemisietum ramosae","Del Arco, Acebes, A. Rodríguez, Padrón, O. Rodríguez, Pérez de Paz & Wildpret 1997"
"37.09.02","Cenchro ciliaris-Launaeetum arborescentis","Reyes, Wildpret & León 2001"
"37.09.03","Euphorbio regis-jubae-Schizogynetum sericeae","Pérez de Paz, Del Arco & Wildpret 1990"
"37.09.04","Launaeo arborescentis-Schizogynetum sericeae","Rivas-Martínez, Wildpret, Del Arco, O. Rodríguez, Pérez de Paz, García Gallo, Acebes, T.E. Díaz & Fernández-González 1993"
"37.10","Artemisio thusculae-Rumicion lunariae","Rivas-Martínez, Wildpret, Del Arco, O. Rodríguez, Pérez de Paz, García Gallo, Acebes, T.E. Díaz & Fernández-González 1993"
"37.10.01","Andryalo variae-Asteriscetum sericeae","O. Rodríguez, García Gallo & Reyes 2001"
"37.10.02","Artemisio thusculae-Plantaginetum arborescentis","Rivas-Martínez, Wildpret, Del Arco, O. Rodríguez, Pérez de Paz, García Gallo, Acebes, T.E. Díaz & Fernández-González 1993"
"37.10.03","Artemisio thusculae-Rumicetum lunariae","Rivas-Martínez, Wildpret, Del Arco, O. Rodríguez, Pérez de Paz, García Gallo, Acebes, T.E. Díaz & Fernández-González 1993"
"37.10.04","Lavandulo pinnatae-Asteriscetum intermedii","Reyes, Wildpret & León 2001"
"37.10.05","Odontospermo stenophylli-Ononidetum ulicinae","Sunding 1972"
"37.10.06","Tricholaeno teneriffae-Rumicetum lunariae","Sunding 1972"
