"Código","Denominación"
"Ia","Reserva Natural Estricta"
"Ib","Area silvestre"
"II","Parque nacional"
"III","Monumento o característica natural"
"IV","Áreas de gestión de hábitats y especies"
"V","Paisaje terrestre o marítimo protegido"
"VI","Área protegida con uso sostenible de los recursos naturales"
