"Nº de anexo","Nombre","Descripción"
"00","Desconocido","Desconocido"
"01","Anexo I","Especies de aves de Interés Comunitario. Especies de aves que son objeto de medidas de conservación especiales en cuanto a su hábitat, con el fin de asegurar su supervivencia y su reproducción en su área de distribución."
"02","Anexo II","Especies que podrán ser objeto de caza según su legislación nacional.Las de la parteA podrán cazarse dentro de la zona de aplicación de la Directiva. Las de la parteB podrán cazarse solamente en los Estados miembros respecto a los que se las menciona"
"03","Anexo III","Las actividades contempladas en el apartado 1 no estarán prohibidas para las especies contempladas en la parte A del anexo III.
Para las especies de la parte B, dichas actividades podrán ser autorizadas por los Estados miembros en su territorio."
"04","Anexo IV","Los estados miembros prohibirán el recurso a cualquier método de captura que se enumera en la letra a). Asimismo, los Estados miembros prohibirán cualquier persecución con medios de transporte y en las condiciones mencionadas en la letra b)."
"05","Anexo V","Se prestará especial atención a las investigaciones y a los trabajos sobre los temas enumerados en el anexo V."
