"Código","Denominación"
"CR","CR En peligro critico"
"DD","DD Datos Insuficientes"
"EN","EN En peligro"
"EW","EW Extinta en estado silvestre"
"EX","EX Extinta"
"LC","LC Preocupacion menor"
"NE","NE No Evaluado"
"NT","NT Casi amenazada"
"VU","VU Vulnerable"
