"Código","Denominación"
"ANS","Áreas Naturales Singulares"
"LIC","Lugares de Importancia Comunitaria."
"PN","Parques naturales"
"RAMSAR","Humedales RAMSAR"
"RN","Reservas naturales"
"ZEC","Zonas de Especial conservación"
"ZECIC","Zona de Especial Conservación de Importancia Comunitaria"
"ZEPA","Zonas de especial protección de aves"
