"Código","Denominación"
"CF","Corredor fluvial"
"ZCP","Zona de Uso Restringido (Conservación Prioritaria)"
"ZUF","Zona de Uso Forestal"
"ZUG","Zona de Uso General"
"ZUL","Zona de Uso Limitado"
